"id"	"Cause_of_Death_2019-02-01"	"Cause_of_Death_2019-03-01"	"Cause_of_Death_2019-04-01"	"Cause_of_Death_2019-05-01"	"Cause_of_Death_2019-06-01"	"Cause_of_Death_2019-07-01"	"Cause_of_Death_2019-08-01"	"Cause_of_Death_2019-09-01"	"Cause_of_Death_2019-10-01"	"Cause_of_Death_2019-11-01"	"Cause_of_Death_2019-12-01"	"Cause_of_Death_2020-01-01"	"Cause_of_Death_2020-02-01"	"Cause_of_Death_2020-03-01"	"Cause_of_Death_2020-04-01"	"Cause_of_Death_2020-05-01"	"Cause_of_Death_2020-06-01"	"Cause_of_Death_2020-07-01"	"Cause_of_Death_2020-08-01"	"Cause_of_Death_2020-09-01"	"Cause_of_Death_2020-10-01"	"Cause_of_Death_2020-11-01"	"Percentage_2019-02-01"	"Percentage_2019-03-01"	"Percentage_2019-04-01"	"Percentage_2019-05-01"	"Percentage_2019-06-01"	"Percentage_2019-07-01"	"Percentage_2019-08-01"	"Percentage_2019-09-01"	"Percentage_2019-10-01"	"Percentage_2019-11-01"	"Percentage_2019-12-01"	"Percentage_2020-01-01"	"Percentage_2020-02-01"	"Percentage_2020-03-01"	"Percentage_2020-04-01"	"Percentage_2020-05-01"	"Percentage_2020-06-01"	"Percentage_2020-07-01"	"Percentage_2020-08-01"	"Percentage_2020-09-01"	"Percentage_2020-10-01"	"Percentage_2020-11-01"	"Count_2019-02-01"	"Count_2019-03-01"	"Count_2019-04-01"	"Count_2019-05-01"	"Count_2019-06-01"	"Count_2019-07-01"	"Count_2019-08-01"	"Count_2019-09-01"	"Count_2019-10-01"	"Count_2019-11-01"	"Count_2019-12-01"	"Count_2020-01-01"	"Count_2020-02-01"	"Count_2020-03-01"	"Count_2020-04-01"	"Count_2020-05-01"	"Count_2020-06-01"	"Count_2020-07-01"	"Count_2020-08-01"	"Count_2020-09-01"	"Count_2020-10-01"	"Count_2020-11-01"
1	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Codes for special purposes (including COVID-19)"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	"Neoplasms"	28.3	29.89	30.14	32.44	33.8	33.4	34.12	34.72	32.69	30.43	28.01	28.59	30.69	27.83	31.81	27.4	33.31	35.48	36.26	34.47	30.48	26.74	3267	3265	3349	3444	3332	3383	3406	3471	3585	3503	3639	3703	3423	3649	5550	3330	3400	3455	3590	3422	3470	3342
2	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Neoplasms"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	"Diseases of the circulatory system"	26.75	28.09	27.86	27.05	27.45	28.03	27.23	26.47	27.66	28.02	27.73	26.43	26.89	24.2	19.84	23.76	27.05	27.14	27.97	27.88	26.06	22.59	3088	3069	3096	2872	2706	2839	2718	2646	3033	3225	3603	3423	2999	3174	3462	2888	2761	2643	2770	2768	2966	2823
3	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the circulatory system"	"Codes for special purposes (including COVID-19)"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Codes for special purposes (including COVID-19)"	18.89	16.52	15.97	14.23	13.63	12.85	12.34	12.89	14.35	15	18.48	18.04	16.49	15.69	18.17	16.44	10.13	10.24	10.75	10.76	10.93	21.21	2181	1805	1775	1511	1344	1301	1232	1289	1574	1727	2401	2336	1839	2057	3171	1998	1034	997	1064	1068	1244	2650
4	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Codes for special purposes (including COVID-19)"	"Diseases of the respiratory system"	"Diseases of the respiratory system"	"Codes for special purposes (including COVID-19)"	"Mental and behavioural disorders"	"Diseases of the digestive system"	"Mental and behavioural disorders"	"Codes for special purposes (including COVID-19)"	"Diseases of the respiratory system"	6.36	5.82	6.06	5.71	5.3	5.26	5.43	5.49	5.54	6.19	5.99	6.27	5.64	7.06	9.57	9.54	6.02	5.11	5.01	5.33	8.96	8.69	734	636	673	606	523	533	542	549	607	713	778	812	629	926	1670	1160	614	498	496	529	1020	1086
5	"Diseases of the nervous system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Mental and behavioural disorders"	"Diseases of the digestive system"	"Mental and behavioural disorders"	"Mental and behavioural disorders"	4.84	4.63	4.75	5.03	4.75	5.22	4.86	5.01	5	5.06	4.86	5.34	5.08	5.8	5.07	5.22	5.03	5.07	5.01	5.23	5.28	4.69	559	506	528	534	468	529	485	501	548	582	631	692	567	760	884	634	513	494	496	519	601	586
6	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Mental and behavioural disorders"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	"Diseases of the nervous system"	4.53	4.21	4.7	4.37	4.27	4.55	4.85	4.68	4.54	4.94	4.67	5.05	4.82	4.84	4.42	4.62	4.57	4.87	4.92	5.01	5.02	4.56	523	460	522	464	421	461	484	468	498	569	607	654	538	635	771	561	466	474	487	497	571	570
7	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Missing"	"Missing"	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Missing"	"Missing"	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Missing"	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Diseases of the digestive system"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Diseases of the digestive system"	"Diseases of the digestive system"	2.37	2.85	2.53	2.73	2.51	2.26	2.59	2.5	2.21	2.38	2.1	2.47	2.47	4.21	2.96	3.79	4.55	2.9	2.15	2.53	4.48	3.9	273	311	281	290	247	229	259	250	242	274	273	320	276	552	516	461	464	282	213	251	510	488
8	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Missing"	"Missing"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Diseases of the genitourinary system"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	2.1	2.23	1.94	2.41	2.25	2.02	2.25	2.3	2.17	2.08	2.06	2.05	2.38	2.59	2.52	2.9	2.56	1.85	1.66	1.84	2.38	2.26	242	244	216	256	222	205	225	230	238	240	268	266	266	340	440	352	261	180	164	183	271	282
9	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Missing"	"Endocrine, nutritional and metabolic diseases"	"Missing"	"Endocrine, nutritional and metabolic diseases"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	1.75	1.9	1.89	1.9	1.8	1.89	1.91	1.94	1.73	1.95	1.93	1.73	1.81	2.03	1.47	1.86	1.76	1.66	1.63	1.75	1.52	1.62	202	208	210	202	177	191	191	194	190	224	251	224	202	266	256	226	180	162	161	174	173	203
10	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Endocrine, nutritional and metabolic diseases"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	"Missing"	"Missing"	"Codes for special purposes (including COVID-19)"	"Diseases of the genitourinary system"	"Diseases of the genitourinary system"	1.46	1.35	1.46	1.71	1.6	1.61	1.86	1.61	1.63	1.53	1.65	1.51	1.45	1.77	1.36	1.46	1.64	1.62	1.58	1.37	1.49	1.38	168	148	162	182	158	163	186	161	179	176	215	196	162	232	237	178	167	158	156	136	170	172
