"Date"	"Age"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"65-74"	26.55	1.12	23.68	"20.85-26.9"	25.43	"22.21-28.65"
2019-03-01	"65-74"	22.14	1.08	20.43	"17.79-23.47"	21.05	"18.11-24"
2019-04-01	"65-74"	25.82	1.1	23.51	"20.67-26.74"	24.72	"21.55-27.89"
2019-05-01	"65-74"	17.85	1.05	16.97	"14.56-19.78"	16.8	"14.16-19.44"
2019-06-01	"65-74"	21.46	1.04	20.72	"18.02-23.83"	20.42	"17.54-23.3"
2019-07-01	"65-74"	19.92	1.03	19.29	"16.69-22.29"	18.89	"16.12-21.66"
2019-08-01	"65-74"	22	1.04	21.13	"18.42-24.24"	20.96	"18.07-23.85"
2019-09-01	"65-74"	22.63	1.02	22.11	"19.32-25.3"	21.61	"18.69-24.52"
2019-10-01	"65-74"	23.63	1.07	22.06	"19.34-25.18"	22.56	"19.58-25.53"
2019-11-01	"65-74"	26.15	1.11	23.52	"20.76-26.66"	25.04	"21.93-28.16"
2019-12-01	"65-74"	27.3	1.23	22.23	"19.68-25.12"	26.07	"22.89-29.25"
2020-01-01	"65-74"	26.78	1.23	21.73	"19.22-24.57"	25.55	"22.4-28.69"
2020-02-01	"65-74"	23.15	1.08	21.35	"18.71-24.36"	22.06	"19.15-24.98"
2020-03-01	"65-74"	26.72	1.17	22.76	"20.14-25.72"	25.55	"22.44-28.66"
2020-04-01	"65-74"	35.2	1.08	32.7	"29.35-36.43"	34.12	"30.58-37.67"
2020-05-01	"65-74"	20.38	1	20.32	"17.65-23.4"	19.37	"16.62-22.13"
2020-06-01	"65-74"	17	0.99	17.22	"14.76-20.1"	16.01	"13.48-18.55"
2020-07-01	"65-74"	18.56	0.98	18.91	"16.32-21.91"	17.57	"14.95-20.2"
2020-08-01	"65-74"	22.12	1	22.08	"19.3-25.25"	21.12	"18.29-23.95"
2020-09-01	"65-74"	18.64	1	18.61	"16.1-21.52"	17.64	"15.04-20.24"
2020-10-01	"65-74"	21.65	1.02	21.14	"18.47-24.2"	20.62	"17.83-23.41"
